date_collected,treatment,gas,mean_flux_umol,mean_flux_nmol
10/13/25,Bi,ch4,0,-1
10/13/25,Bi+Di,ch4,0,-0.75
10/13/25,Bi+Dix2,ch4,0,-1.175
10/13/25,C,ch4,0,-1.925
10/13/25,Di,ch4,0,-0.425
10/2/25,Bi,ch4,0.009999999999999998,10.575
10/2/25,Bi+Di,ch4,0,-0.75
10/2/25,Bi+Dix2,ch4,0,-2.05
10/2/25,C,ch4,0,1.475
10/2/25,Di,ch4,0,-1.0750000000000002
10/13/25,Bi,co2,1.2349999999999999,1236.675
10/13/25,Bi+Di,co2,2.0675,2066.925
10/13/25,Bi+Dix2,co2,2.8175,2815.3
10/13/25,C,co2,0.855,854.75
10/13/25,Di,co2,1.9899999999999998,1988.125
10/2/25,Bi,co2,1.1825,1182.425
10/2/25,Bi+Di,co2,0.935,936.475
10/2/25,Bi+Dix2,co2,1.2375,1239
10/2/25,C,co2,1.0725,1070
10/2/25,Di,co2,1.1625,1160.875
10/13/25,Bi,n2o,0,0.375
10/13/25,Bi+Di,n2o,0,1.775
10/13/25,Bi+Dix2,n2o,0,1.55
10/13/25,C,n2o,0,0.5
10/13/25,Di,n2o,0,1.0750000000000002
10/2/25,Bi,n2o,0,-0.6
10/2/25,Bi+Di,n2o,0,0.375
10/2/25,Bi+Dix2,n2o,0,0.125
10/2/25,C,n2o,0,0.47500000000000003
10/2/25,Di,n2o,0,0.125
