date_collected,ecosystem,treatment,gas,flux_umol_m2_s1,flux_nmol_m2_s1
10/2/25,U1,Di,co2,0.61,608.2
10/2/25,U1,Di,ch4,0.00,-2.1
10/2/25,U1,Di,n2o,0.00,-0.4
10/2/25,U1,Bi+Dix2,co2,0.85,849.5
10/2/25,U1,Bi+Dix2,ch4,0.00,-2.5
10/2/25,U1,Bi+Dix2,n2o,0.00,0.4
10/2/25,U1,Bi+Di,co2,0.70,696.0
10/2/25,U1,Bi+Di,ch4,0.00,-3.5
10/2/25,U1,Bi+Di,n2o,0.00,0.8
10/2/25,U1,Bi,co2,0.79,787.8
10/2/25,U1,Bi,ch4,0.00,-1.9
10/2/25,U1,Bi,n2o,0.00,0.4
10/2/25,U1,C,co2,1.10,1101.2
10/2/25,U1,C,ch4,0.00,1.6
10/2/25,U1,C,n2o,0.00,0.4
10/2/25,U2,Bi+Dix2,co2,1.20,1199.1
10/2/25,U2,Bi+Dix2,ch4,0.00,-2.6
10/2/25,U2,Bi+Dix2,n2o,0.00,-0.3
10/2/25,U2,Bi,co2,0.95,946.7
10/2/25,U2,Bi,ch4,0.04,41.6
10/2/25,U2,Bi,n2o,0.00,-1.8
10/2/25,U2,C,co2,0.92,915.1
10/2/25,U2,C,ch4,0.00,2.9
10/2/25,U2,C,n2o,0.00,0.2
10/2/25,U2,Di,co2,1.37,1370.4
10/2/25,U2,Di,ch4,0.00,1.9
10/2/25,U2,Di,n2o,0.00,0.3
10/2/25,U2,Bi+Di,co2,1.04,1044.5
10/2/25,U2,Bi+Di,ch4,0.00,-0.8
10/2/25,U2,Bi+Di,n2o,0.00,0.3
10/2/25,U3,Bi+Di,co2,1.19,1191.8
10/2/25,U3,Bi+Di,ch4,0.00,2.4
10/2/25,U3,Bi+Di,n2o,0.00,0.3
10/2/25,U3,C,co2,0.78,777.1
10/2/25,U3,C,ch4,0.00,-1.3
10/2/25,U3,C,n2o,0.00,0.4
10/2/25,U3,Di,co2,1.29,1286.1
10/2/25,U3,Di,ch4,0.00,-1.2
10/2/25,U3,Di,n2o,0.00,0.1
10/2/25,U3,Bi,co2,1.66,1662.3
10/2/25,U3,Bi,ch4,0.00,-2.3
10/2/25,U3,Bi,n2o,0.00,-1.2
10/2/25,U3,Bi+Dix2,co2,1.24,1242.8
10/2/25,U3,Bi+Dix2,ch4,0.00,-1.8
10/2/25,U3,Bi+Dix2,n2o,0.00,0.2
10/2/25,U4,Bi+Di,co2,0.81,813.6
10/2/25,U4,Bi+Di,ch4,0.00,-1.1
10/2/25,U4,Bi+Di,n2o,0.00,0.1
10/2/25,U4,Bi,co2,1.33,1332.9
10/2/25,U4,Bi,ch4,0.00,4.9
10/2/25,U4,Bi,n2o,0.00,0.2
10/2/25,U4,C,co2,1.49,1486.6
10/2/25,U4,C,ch4,0.00,2.7
10/2/25,U4,C,n2o,0.00,0.9
10/2/25,U4,Bi+Dix2,co2,1.66,1664.6
10/2/25,U4,Bi+Dix2,ch4,0.00,-1.3
10/2/25,U4,Bi+Dix2,n2o,0.00,0.2
10/2/25,U4,Di,co2,1.38,1378.8
10/2/25,U4,Di,ch4,0.00,-2.9
10/2/25,U4,Di,n2o,0.00,0.5
10/13/25,U1,Di,co2,0.00,0.0
10/13/25,U1,Di,ch4,0.00,0.0
10/13/25,U1,Di,n2o,0.00,0.0
10/13/25,U1,Bi+Dix2,co2,1.09,1085.2
10/13/25,U1,Bi+Dix2,ch4,0.00,-1.8
10/13/25,U1,Bi+Dix2,n2o,0.00,0.6
10/13/25,U1,Bi+Di,co2,2.34,2337.1
10/13/25,U1,Bi+Di,ch4,0.00,0.1
10/13/25,U1,Bi+Di,n2o,0.00,2.3
10/13/25,U1,Bi,co2,0.54,542.8
10/13/25,U1,Bi,ch4,0.00,-1.5
10/13/25,U1,Bi,n2o,0.00,0.7
10/13/25,U1,C,co2,0.75,746.0
10/13/25,U1,C,ch4,0.00,-1.8
10/13/25,U1,C,n2o,0.00,0.3
10/13/25,U2,Bi+Dix2,co2,3.33,3333.8
10/13/25,U2,Bi+Dix2,ch4,0.00,-1.0
10/13/25,U2,Bi+Dix2,n2o,0.00,2.3
10/13/25,U2,Bi,co2,1.15,1152.9
10/13/25,U2,Bi,ch4,0.00,-1.6
10/13/25,U2,Bi,n2o,0.00,0.3
10/13/25,U2,C,co2,1.12,1124.5
10/13/25,U2,C,ch4,0.00,0.9
10/13/25,U2,C,n2o,0.00,0.2
10/13/25,U2,Di,co2,2.80,2796.5
10/13/25,U2,Di,ch4,0.00,-0.3
10/13/25,U2,Di,n2o,0.00,1.3
10/13/25,U2,Bi+Di,co2,1.95,1950.0
10/13/25,U2,Bi+Di,ch4,0.00,-0.2
10/13/25,U2,Bi+Di,n2o,0.00,2.3
10/13/25,U3,Bi+Di,co2,1.84,1842.8
10/13/25,U3,Bi+Di,ch4,0.00,-1.2
10/13/25,U3,Bi+Di,n2o,0.00,1.0
10/13/25,U3,C,co2,0.82,820.8
10/13/25,U3,C,ch4,0.00,-4.8
10/13/25,U3,C,n2o,0.00,0.7
10/13/25,U3,Di,co2,2.34,2335.5
10/13/25,U3,Di,ch4,0.00,-2.1
10/13/25,U3,Di,n2o,0.00,0.9
10/13/25,U3,Bi,co2,1.36,1360.1
10/13/25,U3,Bi,ch4,0.00,1.4
10/13/25,U3,Bi,n2o,0.00,0.4
10/13/25,U3,Bi+Dix2,co2,4.16,4156.4
10/13/25,U3,Bi+Dix2,ch4,0.00,-1.7
10/13/25,U3,Bi+Dix2,n2o,0.00,2.5
10/13/25,U4,Bi+Di,co2,2.14,2137.8
10/13/25,U4,Bi+Di,ch4,0.00,-1.7
10/13/25,U4,Bi+Di,n2o,0.00,1.5
10/13/25,U4,Bi,co2,1.89,1890.9
10/13/25,U4,Bi,ch4,0.00,-2.3
10/13/25,U4,Bi,n2o,0.00,0.1
10/13/25,U4,C,co2,0.73,727.7
10/13/25,U4,C,ch4,0.00,-2.0
10/13/25,U4,C,n2o,0.00,0.8
10/13/25,U4,Bi+Dix2,co2,2.69,2685.8
10/13/25,U4,Bi+Dix2,ch4,0.00,-0.2
10/13/25,U4,Bi+Dix2,n2o,0.00,0.8
10/13/25,U4,Di,co2,2.82,2820.5
10/13/25,U4,Di,ch4,0.00,0.7
10/13/25,U4,Di,n2o,0.00,2.1
